"SampleID"	"HaplotypeID"	"ClusterID"	"ContigOrientation"	"ContigStart"	"ContigEnd"	"SegmentColor"	"SegmentOrientation"		
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15785141	15815730	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.03398663192478"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15815396	15839902	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00413718919366"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15857236	15876371	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99468622137202"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15894427	15936554	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.07662651756424"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	7809007	7847904	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.05659163987139"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	7863257	7873611	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	7906980	7942322	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.04909180166912"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	7941988	7966480	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.9462165404824"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	7983823	8002989	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.17004091609543"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8021697	8053809	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 59.9630272813848"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8084957	8124989	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98867112269174"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8125164	8149199	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.4579160804436"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8166515	8185652	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95217599234816"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8203719	8245820	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01436747204329"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8292548	8346102	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.00186730902097"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8400517	8442640	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0670482028687"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8460698	8479832	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98937244274404"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8497164	8521655	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.94207935128874"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8521324	8556615	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.00377629243609"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8587742	8619816	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 59.89206953858794"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8673874	8715986	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.040707837456"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8734049	8753205	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06376534353579"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8770520	8795025	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8794691	8839418	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.95468449076697"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8853222	8903126	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 93.1861893824809"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8915346	8925722	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.21247826926792"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8954046	8979974	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 66.69581993569132"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	8993679	9018214	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.12411567580986"	
"HG00513"	"h2"	"cluster2_h2tg000004l"	"-"	9018214	9044703	"pink"	"inverted"	"sequence identity is: 98.0 - query coverage is: 100.03021033948869"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	3679288	3705780	"pink"	"direct"	"sequence identity is: 98.0 - query coverage is: 100.04153921679695"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	3705780	3730315	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.12411567580986"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	3744022	3769953	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 66.70353697749196"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	3798279	3808651	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.17384585667375"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	3820871	3870779	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 93.19365861856478"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	3884584	3929315	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.96978966051131"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	3928981	3953488	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00827437838733"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	3970804	3989961	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.06907912216377"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4008024	4050136	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.040707837456"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4104194	4136270	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 59.89580415662988"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4167398	4202696	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01510516974434"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4202362	4226857	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95862810806338"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4244190	4263325	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99468622137202"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4281383	4323510	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.07662651756424"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4377927	4431485	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00933654510484"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4478213	4520315	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01676205071718"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4538382	4557520	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.95748977097614"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4574837	4599063	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.02477291494633"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4599063	4639103	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01888146218043"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4670259	4702375	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 59.970496517468675"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4721084	4740221	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98405866411605"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4757565	4782054	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.93380497290141"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4781723	4817068	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06042067897738"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4850438	4860792	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"HG00514"	"h1"	"cluster12_h1tg000014l"	"+"	4876146	4915046	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.06430868167203"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	747494	786394	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06430868167203"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	801748	812105	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.02897430944563"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	845469	880801	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.04153921679695"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	880467	904959	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.9462165404824"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	922303	941440	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98405866411605"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	960148	992263	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 59.96862920844771"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1023415	1063459	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01132887730826"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1063459	1087684	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.0206440957886"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1104998	1124138	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95748977097614"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1142205	1184308	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01915662939106"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1231025	1284585	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01307116314679"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1339019	1381143	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06944278154259"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1399203	1418336	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98405866411605"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1435669	1460161	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.9462165404824"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1459830	1495135	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.04153921679695"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1526263	1558339	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 59.89580415662988"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1612398	1654500	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01676205071718"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1672563	1691727	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.07439290079175"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1709044	1733587	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.15721318935915"	
"HG00514"	"h2"	"cluster12_h2tg000021l"	"-"	1733253	1771650	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 79.76563534448515"	
"HG00731"	"h1"	"cluster11_h1tg000008l"	"+"	42913	75021	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 59.95555804530092"	
"HG00731"	"h1"	"cluster11_h1tg000008l"	"+"	93733	112901	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.15941335883947"	
"HG00731"	"h1"	"cluster11_h1tg000008l"	"+"	130248	154760	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.02896032435564"	
"HG00731"	"h1"	"cluster11_h1tg000008l"	"+"	154429	203854	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.07930214115781"	
"HG00731"	"h1"	"cluster11_h1tg000008l"	"+"	237215	247570	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00965810314854"	
"HG00731"	"h1"	"cluster11_h1tg000008l"	"+"	262928	301802	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99742765273312"	
"HG00731"	"h1"	"cluster11_h1tg000018l"	"+"	0	22848	"pink"	"direct"	"sequence identity is: 98.0 - query coverage is: 86.28072957969866"	
"HG00731"	"h1"	"cluster11_h1tg000018l"	"+"	22848	47383	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.12411567580986"	
"HG00731"	"h1"	"cluster11_h1tg000018l"	"+"	61088	87015	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 66.69324758842444"	
"HG00731"	"h1"	"cluster11_h1tg000018l"	"+"	115330	125697	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.12555534093104"	
"HG00731"	"h1"	"cluster9_h1tg000018l"	"+"	0	38508	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 92.21043557386078"	
"HG00731"	"h1"	"cluster9_h1tg000018l"	"+"	92931	146475	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98319421881128"	
"HG00731"	"h1"	"cluster9_h1tg000018l"	"+"	202236	244336	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01197289336942"	
"HG00731"	"h1"	"cluster9_h1tg000018l"	"+"	262401	281564	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.12221690844359"	
"HG00731"	"h1"	"cluster9_h1tg000018l"	"+"	298881	323383	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98758843241902"	
"HG00731"	"h1"	"cluster9_h1tg000018l"	"+"	323383	341981	"pink"	"inverted"	"sequence identity is: 98.0 - query coverage is: 70.2314867263321"	
"HG00731"	"h1"	"cluster9_h1tg000018l"	"+"	372155	417374	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 84.43784661923702"	
"HG00731"	"h1"	"cluster9_h1tg000025l"	"+"	3326	43352	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98867112269174"	
"HG00731"	"h1"	"cluster9_h1tg000025l"	"+"	43352	67576	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01651527663088"	
"HG00731"	"h1"	"cluster9_h1tg000025l"	"+"	84891	104034	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.97343110686009"	
"HG00731"	"h1"	"cluster9_h1tg000025l"	"+"	131872	185432	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01307116314679"	
"HG00731"	"h1"	"cluster9_h1tg000025l"	"+"	239856	281961	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.02394578673882"	
"HG00731"	"h1"	"cluster9_h1tg000025l"	"+"	300039	319206	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0903342366757"	
"HG00731"	"h2"	"cluster11_h2tg000023l"	"-"	55431651	55470525	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.99742765273312"	
"HG00731"	"h2"	"cluster11_h2tg000023l"	"-"	55485883	55496237	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"HG00731"	"h2"	"cluster11_h2tg000023l"	"-"	55529615	55578759	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 92.77217627733091"	
"HG00731"	"h2"	"cluster11_h2tg000023l"	"-"	55578759	55603264	"green"	"direct"	"sequence identity is: 100.0 - query coverage is: 100.0"	
"HG00731"	"h2"	"cluster11_h2tg000026l"	"+"	3169917	3196396	"pink"	"direct"	"sequence identity is: 98.0 - query coverage is: 99.99244741512783"	
"HG00731"	"h2"	"cluster11_h2tg000026l"	"+"	3196396	3220931	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.12411567580986"	
"HG00731"	"h2"	"cluster11_h2tg000026l"	"+"	3234636	3260564	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 66.69581993569132"	
"HG00731"	"h2"	"cluster11_h2tg000026l"	"+"	3288889	3299263	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.19316206297083"	
"HG00731"	"h2"	"cluster9_h2tg000003l"	"+"	0	38508	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 92.21043557386078"	
"HG00731"	"h2"	"cluster9_h2tg000003l"	"+"	92931	146475	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98319421881128"	
"HG00731"	"h2"	"cluster9_h2tg000003l"	"+"	202236	244336	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01197289336942"	
"HG00731"	"h2"	"cluster9_h2tg000003l"	"+"	262401	281564	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.12221690844359"	
"HG00731"	"h2"	"cluster9_h2tg000003l"	"+"	298881	323383	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98758843241902"	
"HG00731"	"h2"	"cluster9_h2tg000003l"	"+"	323383	341981	"pink"	"inverted"	"sequence identity is: 98.0 - query coverage is: 70.2314867263321"	
"HG00731"	"h2"	"cluster9_h2tg000007l"	"+"	3326	43352	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98867112269174"	"*incorrect segment"
"HG00731"	"h2"	"cluster9_h2tg000007l"	"+"	43352	67576	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01651527663088"	"*incorrect segment"
"HG00731"	"h2"	"cluster9_h2tg000007l"	"+"	84891	104034	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.97343110686009"	"*incorrect segment"
"HG00731"	"h2"	"cluster9_h2tg000007l"	"+"	131872	185432	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01307116314679"	"*incorrect segment"
"HG00731"	"h2"	"cluster9_h2tg000026l"	"+"	2	47622	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 88.9212555785857"	
"HG00731"	"h2"	"cluster9_h2tg000026l"	"+"	61426	101436	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95468449076697"	
"HG00731"	"h2"	"cluster9_h2tg000026l"	"+"	101102	125591	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.92966778370774"	
"HG00731"	"h2"	"cluster9_h2tg000026l"	"+"	142902	162069	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.0903342366757"	
